DayCount,TS,TimeStep,1,2,Living,Kitchen,Laundry,Bathroom,ElecFood,ElecVaccuum,ElecIron,ElecDishes,ElecLaundry,ElecPC,ElecTV,ElecMusic,ElecBath,ElecStandby,ElecFridge,ElecLights,Bath,Dishes,Food,Laundry
1,831,13:50,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,841,14:00,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,851,14:10,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,861,14:20,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,871,14:30,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,881,14:40,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,891,14:50,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,901,15:00,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,911,15:10,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,921,15:20,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,931,15:30,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,941,15:40,4,0,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
1,951,15:50,4,0,68.6,68.6,0,0,0,0,0,0,0,0,0,0,0,6,53,9.6,0,0,0,0
1,961,16:00,4,0,68.6,68.6,0,0,0,0,0,0,0,0,0,0,0,6,53,9.6,0,0,0,0
1,971,16:10,4,0,47.6,47.6,0,0,0,0,0,0,0,0,0,0,0,6,32,9.6,0,0,0,0
1,981,16:20,4,0,47.6,47.6,0,0,0,0,0,0,0,0,0,0,0,6,32,9.6,0,0,0,0
1,991,16:30,4,0,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
1,1001,16:40,4,4,73.6688,73.6688,0,0,0,0,0,0,0,0,0,0,0,6,53,14.6688,0,0,0,0
1,1011,16:50,4,4,73.6688,73.6688,0,0,0,0,0,0,0,0,0,0,0,6,53,14.6688,0,0,0,0
1,1021,17:00,4,4,52.6688,52.6688,0,0,0,0,0,0,0,0,0,0,0,6,32,14.6688,0,0,0,0
1,1031,17:10,4,4,52.6688,52.6688,0,0,0,0,0,0,0,0,0,0,0,6,32,14.6688,0,0,0,0
1,1041,17:20,4,4,820.6688,820.6688,0,0,0,800,0,0,0,0,0,0,0,6,0,14.6688,0,0,589.3278,0
1,1051,17:30,4,4,2233.6688,2233.6688,0,0,1200,800,0,0,0,0,160,0,0,6,53,14.6688,0,0,589.3278,0
1,1061,17:40,4,4,2308.6688,2308.6688,0,0,1200,800,0,0,0,75,160,0,0,6,53,14.6688,0,0,589.3278,0
1,1071,17:50,4,4,1087.6688,1087.6688,0,0,0,800,0,0,0,75,160,0,0,6,32,14.6688,0,0,0,0
1,1081,18:00,4,4,1012.6688,1012.6688,0,0,0,800,0,0,0,0,160,0,0,6,32,14.6688,0,0,0,0
1,1091,18:10,4,4,980.6688,980.6688,0,0,0,800,0,0,0,0,160,0,0,6,0,14.6688,0,0,0,0
1,1101,18:20,4,4,1033.6688,1033.6688,0,0,0,800,0,0,0,0,160,0,0,6,53,14.6688,0,0,0,0
1,1111,18:30,4,4,233.6688,233.6688,0,0,0,0,0,0,0,0,160,0,0,6,53,14.6688,0,0,0,0
1,1121,18:40,4,4,812.6688,812.6688,0,0,0,0,0,600,0,0,160,0,0,6,32,14.6688,0,62.6944,0,0
1,1131,18:50,4,4,368.6688,368.6688,0,0,0,0,0,156,0,0,160,0,0,6,32,14.6688,0,62.6944,0,0
1,1141,19:00,4,4,225.6688,225.6688,0,0,0,0,0,45,0,0,160,0,0,6,0,14.6688,0,62.6944,0,0
1,1151,19:10,4,4,278.6688,278.6688,0,0,0,0,0,45,0,0,160,0,0,6,53,14.6688,0,62.6944,0,0
1,1161,19:20,4,4,278.6688,278.6688,0,0,0,0,0,45,0,0,160,0,0,6,53,14.6688,0,62.6944,0,0
1,1171,19:30,2,4,368.6688,368.6688,0,0,0,0,0,156,0,0,160,0,0,6,32,14.6688,0,62.6944,0,0
1,1181,19:40,4,4,887.6688,887.6688,15,0,0,0,0,600,15,75,160,0,0,6,32,14.6688,0,62.6944,0,0
1,1191,19:50,4,4,300.6688,300.6688,307.5,0,0,0,0,45,307.5,75,160,0,0,6,0,14.6688,0,62.6944,0,0
1,1201,20:00,4,4,233.6688,233.6688,543.6,0,0,0,0,0,543.6,0,160,0,0,6,53,14.6688,0,62.6944,0,0
